"lga","acc_year","acc_month","acc_nos","acc_vehicles","acc_persons","acc_cyclists","acc_females","acc_males","acc_deaths","acc_injs","acc_avgage","acc_avgsev","acc_lat","acc_long","acc_citydist","acc_date","acc_genderbal"
"Wangaratta","2008","12","8","12","16","0","6","10","0","14","40.3750","1.8750","-36.3891245680317","146.42786080445183","204.92703195915325","15/12/2008","4"
"Latrobe","2008","12","12","22","26","1","10","14","1","14","35.0769","1.6667","-38.23591074171203","146.4381218057334","137.74834828710016","15/12/2008","4"
"Indigo","2008","12","2","2","2","0","1","1","0","2","47.5000","2.0000","-36.16243280538323","146.68320390887777","238.9267497986891","15/12/2008","0"
"Wellington","2008","12","15","20","27","1","6","21","0","16","40.1481","1.5333","-38.084401497014596","146.90260055954604","172.9780401706422","15/12/2008","15"
"Wodonga","2008","12","4","5","8","0","1","7","0","5","31.2500","1.0000","-36.15678592565898","146.90405145257594","252.40048073327534","15/12/2008","6"
"Alpine","2008","12","6","9","10","2","3","7","0","8","48.7000","1.3333","-36.705352536083446","146.9309479646283","213.48771779776396","15/12/2008","4"
"Towong","2008","12","1","1","1","0","0","1","0","1","38.0000","2.0000","-36.49869129494541","147.3544732367724","257.6098599822793","15/12/2008","1"
"East Gippsland","2008","12","11","14","24","0","8","14","0","16","36.9565","1.4545","-37.654029513367","148.0007464371891","267.959670548827","15/12/2008","6"
"West Wimmera","2009","1","1","1","1","0","1","0","0","1","28.0000","2.0000","-36.35236115249164","141.03406513567262","384.22150188208275","15/01/2009","-1"
"Glenelg","2009","1","7","7","14","0","4","10","1","9","33.4286","1.5714","-37.767349885107315","141.40821476773831","312.1423206340328","15/01/2009","6"
"Southern Grampians","2009","1","2","2","3","0","2","1","0","3","23.3333","2.0000","-37.553188787848214","141.99233657062896","262.7464329276171","15/01/2009","-1"
"Mildura","2009","1","11","17","32","1","10","19","0","15","32.1667","1.4545","-34.222777699109294","142.16359698967025","471.7452313282311","15/01/2009","9"
"Horsham","2009","1","4","6","7","0","2","5","0","4","29.4286","1.2500","-36.712247199462844","142.20613875594069","272.69507205534626","15/01/2009","3"
"Moyne","2009","1","5","6","8","0","4","4","0","8","43.6250","1.4000","-38.22897685214248","142.47705518037984","222.37918935499735","15/01/2009","0"
"Warrnambool","2009","1","4","8","8","0","4","4","0","4","39.8750","1.2500","-38.38436247289524","142.49702380357928","224.70812925505734","15/01/2009","0"
"Northern Grampians","2009","1","3","4","5","0","2","3","0","4","28.6000","2.0000","-37.11979667148554","142.59173440978876","222.76619578307657","15/01/2009","1"
"Ararat","2009","1","4","5","7","0","2","5","0","4","43.1429","2.0000","-37.46726072772206","142.8675177984337","188.2148474125472","15/01/2009","3"
"Corangamite","2009","1","3","4","7","0","2","5","0","5","36.4286","1.6667","-38.236470106907994","143.14474456304325","165.85173600706682","15/01/2009","3"
"Swan Hill","2009","1","3","4","9","1","2","7","0","5","26.0000","1.6667","-35.10473233156801","143.28835420332254","336.16538481598013","15/01/2009","5"
"Pyrenees","2009","1","6","7","8","0","1","7","0","8","36.5000","1.8333","-37.379045202556036","143.39001204279063","146.4941012217724","15/01/2009","6"
"Colac-Otway","2009","1","8","10","19","0","7","9","0","13","32.2353","1.5000","-38.45878471939245","143.6590125518567","134.579932272606","15/01/2009","2"
"Central Goldfields","2009","1","4","4","7","0","7","0","0","5","21.7143","1.5000","-37.04518621367798","143.73097615968794","138.06573844416755","15/01/2009","-7"
"Ballarat","2009","1","12","24","32","6","12","18","0","19","29.4194","1.4167","-37.57768748123657","143.85199635080824","100.94123282925284","15/01/2009","6"
"Loddon","2009","1","1","1","1","0","0","1","0","1","44.0000","2.0000","-36.57951906578594","143.8906461253942","166.65530570219988","15/01/2009","1"
"Golden Plains","2009","1","8","10","13","0","5","8","0","12","33.7692","1.7500","-37.82566240353675","143.9064182736555","92.56982335112943","15/01/2009","3"
"Hepburn","2009","1","4","5","10","1","3","7","0","8","28.2000","1.2500","-37.38914906512805","143.9205121281693","102.9856317818938","15/01/2009","4"
"Gannawarra","2009","1","3","3","5","0","4","1","0","5","21.6000","1.0000","-35.82580721934931","144.05088394085905","235.28141125671667","15/01/2009","-3"
"Surf Coast","2009","1","11","17","36","0","13","12","0","24","30.0400","1.6364","-38.36351402509525","144.08769169161084","97.88890252791859","15/01/2009","-1"
"Mount Alexander","2009","1","6","9","14","0","6","7","0","9","46.7692","1.3333","-37.051937688434904","144.1841334585575","108.85599791051943","15/01/2009","1"
"Greater Bendigo","2009","1","22","38","57","4","20","33","1","27","34.5926","1.5455","-36.73305205202234","144.30603487752327","133.26831512294723","15/01/2009","13"
"Moorabool","2009","1","8","9","16","0","8","7","0","12","25.9333","1.6250","-37.58087857039605","144.30950741514204","62.779705269910764","15/01/2009","-1"
"Greater Geelong","2009","1","51","102","160","5","68","83","2","68","31.9873","1.5098","-38.145837355599035","144.38571682184823","62.51130205020505","15/01/2009","15"
"Macedon Ranges","2009","1","4","5","5","1","3","2","0","4","44.2000","1.0000","-37.38319096995781","144.49166799284345","63.11765337142187","15/01/2009","-1"
"Queenscliffe","2009","1","1","2","3","0","1","2","0","1","52.6667","2.0000","-38.27525292524743","144.61868524586203","59.50046757615805","15/01/2009","1"
"Melton","2009","1","15","23","31","0","9","22","2","16","26.4839","1.8000","-37.69750740637186","144.6816816811206","27.627280605004394","15/01/2009","13"
"Wyndham","2009","1","19","28","44","1","19","21","0","25","29.3171","1.4211","-37.8785762395489","144.6920738759114","24.655233487054826","15/01/2009","2"
"Campaspe","2009","1","11","12","16","0","5","10","0","12","31.2000","1.3636","-36.19208813103324","144.78886418396192","180.8375604400054","15/01/2009","5"
"Brimbank","2009","1","28","55","77","0","31","43","0","37","32.8026","1.4286","-37.74951558453089","144.79830979939686","15.861384240612944","15/01/2009","12"
"Hobsons Bay","2009","1","16","30","40","4","14","24","0","17","33.8947","1.3125","-37.8526832221536","144.84459165988844","11.083312494881211","15/01/2009","10"
"Maribyrnong","2009","1","8","15","17","1","8","8","0","8","38.1765","1.3750","-37.79333424518133","144.89050306383675","6.485312561259636","15/01/2009","0"
"Hume","2009","1","26","48","64","1","20","38","0","36","32.5968","1.5000","-37.659157032117","144.89326731436753","18.051474625518956","15/01/2009","18"
"Moonee Valley","2009","1","13","24","30","3","8","20","0","14","43.6786","1.6154","-37.75408397438418","144.9015342012819","8.302633358406611","15/01/2009","12"
"Moreland","2009","1","30","71","88","3","26","51","0","43","30.4048","1.3000","-37.73766864771957","144.9507605170747","8.376906492840206","15/01/2009","25"
"Melbourne","2009","1","66","122","184","15","54","107","1","78","32.6092","1.4394","-37.811744437293626","144.9569844384373","0.2960340926591774","15/01/2009","53"
"Port Phillip","2009","1","27","50","64","11","19","35","0","32","32.9831","1.5185","-37.85363906283287","144.966173974494","4.589741726057566","15/01/2009","16"
"Yarra","2009","1","30","54","66","12","17","41","0","34","32.4590","1.3667","-37.803661540638565","144.98824426348563","2.6614971817384903","15/01/2009","24"
"Mornington Peninsula","2009","1","46","83","133","9","51","68","0","66","32.2016","1.4130","-38.31745630865354","144.99626987611845","56.222316432587746","15/01/2009","17"
"Darebin","2009","1","21","36","51","5","14","33","1","27","33.0000","1.5714","-37.74115660152717","145.0068765926575","8.946112549960626","15/01/2009","19"
"Bayside","2009","1","18","34","37","7","13","22","0","22","37.3611","1.2222","-37.93476511040407","145.01231435071145","14.330883085258398","15/01/2009","9"
"Mitchell","2009","1","5","7","9","0","3","6","0","5","35.0000","1.8000","-37.37021085821737","145.01233482439315","49.40983830237447","15/01/2009","3"
"Stonnington","2009","1","25","44","61","2","23","28","0","27","32.9107","1.2800","-37.859255073457504","145.03337644009187","8.259136927108106","15/01/2009","5"
"Glen Eira","2009","1","22","37","49","6","14","29","0","22","39.0000","1.5455","-37.89151971465688","145.0365770159675","11.04324645863075","15/01/2009","15"
"Whittlesea","2009","1","23","40","46","1","15","23","0","24","35.8140","1.3913","-37.64341485471241","145.0517929429605","20.46974569129214","15/01/2009","8"
"Boroondara","2009","1","30","55","79","10","34","40","1","34","36.7308","1.3333","-37.82300128013661","145.05945906162168","8.798292411886587","15/01/2009","6"
"Banyule","2009","1","12","20","29","0","13","13","0","12","36.5000","1.3333","-37.73306230395274","145.07375702754453","13.340993214615384","15/01/2009","0"
"Kingston","2009","1","25","47","65","2","25","36","0","32","39.9508","1.3600","-38.00364687827041","145.09481669223732","24.303825547969033","15/01/2009","11"
"Monash","2009","1","35","76","110","2","39","62","0","54","35.2264","1.4000","-37.89910233306784","145.139026520643","18.413086631174057","15/01/2009","23"
"Whitehorse","2009","1","20","36","58","4","18","31","0","28","32.1481","1.3500","-37.82852363154019","145.1391754714069","15.823106022889744","15/01/2009","13"
"Frankston","2009","1","16","26","40","1","15","23","1","22","30.7692","1.4375","-38.1379974934972","145.14394090016117","39.60270927194205","15/01/2009","8"
"Manningham","2009","1","14","28","54","0","24","27","1","22","36.5000","1.4286","-37.77885960591106","145.1504599789064","17.137628283738607","15/01/2009","3"
"Greater Dandenong","2009","1","30","59","85","2","36","42","1","44","37.1111","1.4000","-37.973756600091264","145.18945001132235","26.94064704586594","15/01/2009","6"
"Nillumbik","2009","1","9","13","20","0","6","14","0","13","29.2500","1.7778","-37.64108474697615","145.21139734035702","29.190940367956458","15/01/2009","8"
"Maroondah","2009","1","18","38","45","0","18","25","0","22","34.5778","1.3333","-37.808385204980205","145.25368447576025","25.79012625405778","15/01/2009","7"
"Knox","2009","1","22","41","76","2","34","38","0","39","32.5417","1.4091","-37.8855756399162","145.2579021228519","27.371808575401243","15/01/2009","4"
"Casey","2009","1","35","62","95","0","36","57","1","44","28.5638","1.3429","-38.04287586652517","145.28844048423744","38.52892667703595","15/01/2009","21"
"Murrindindi","2009","1","6","7","15","0","7","8","0","7","31.0667","1.6667","-37.39389488619033","145.32674883585682","56.66519238425122","15/01/2009","1"
"Strathbogie","2009","1","5","6","9","0","4","4","0","5","34.3333","1.2000","-36.768936312723554","145.32728061831853","120.51239991487786","15/01/2009","0"
"Greater Shepparton","2009","1","9","14","27","1","12","13","3","11","25.5000","1.5556","-36.34275038159673","145.3692022021862","167.4231223504916","15/01/2009","1"
"Bass Coast","2009","1","7","11","16","1","7","9","1","8","34.5625","1.7143","-38.458016901106376","145.42988347887072","82.69003931600486","15/01/2009","2"
"Yarra Ranges","2009","1","40","64","93","3","33","55","5","52","37.6522","1.5750","-37.76105185814741","145.46321359208326","44.57735120015337","15/01/2009","22"
"Cardinia","2009","1","11","17","24","0","9","15","1","17","42.6667","1.6364","-37.98530397398206","145.4978257543945","50.93383408068381","15/01/2009","6"
"Moira","2009","1","4","4","5","0","3","2","1","3","26.8000","1.7500","-36.061000788372546","145.57465007851744","202.28361655891803","15/01/2009","-1"
"South Gippsland","2009","1","14","25","40","1","22","18","0","20","42.1250","1.3571","-38.53896580489642","145.99612945690987","121.33809013663306","15/01/2009","-4"
"Baw Baw","2009","1","16","22","30","0","12","17","2","19","36.6667","1.7500","-38.044366091000384","145.99954724467597","94.73373983995756","15/01/2009","5"
"Benalla","2009","1","5","6","8","0","2","6","0","6","36.8750","1.2000","-36.5626298457894","146.01360119117413","167.41207293002125","15/01/2009","4"
"Mansfield","2009","1","5","6","6","0","1","5","0","5","42.3333","1.6000","-37.256871229159124","146.12060919644767","119.53570782347701","15/01/2009","4"
"Wangaratta","2009","1","8","12","28","1","12","14","0","19","33.3846","1.7500","-36.41404280953881","146.36821311763907","199.42830368080183","15/01/2009","2"
"Latrobe","2009","1","7","11","12","0","4","8","0","8","47.2500","1.7143","-38.222138466758075","146.4190408761654","135.66851455954503","15/01/2009","4"
"Indigo","2009","1","4","7","18","0","9","8","0","5","27.2778","2.0000","-36.12586156334562","146.61244597966","238.16263137302326","15/01/2009","-1"
"Wellington","2009","1","11","15","22","1","6","13","0","12","34.7273","1.5455","-38.125426809328275","146.89637541933274","173.2516803317153","15/01/2009","7"
"Wodonga","2009","1","3","5","7","0","3","4","0","3","46.1429","1.3333","-36.14546202815345","146.9124730098421","253.8394486184451","15/01/2009","1"
"Alpine","2009","1","4","4","4","0","0","4","0","4","48.7500","1.5000","-36.824962111044144","147.10447330457887","219.1214388144392","15/01/2009","4"
"Towong","2009","1","1","1","1","0","0","1","0","1","43.0000","2.0000","-36.1766498076657","147.33854737183978","278.7441695847698","15/01/2009","1"
"East Gippsland","2009","1","18","24","38","0","12","24","5","19","42.5833","1.7778","-37.54441942157232","148.15046520144696","282.32994666321895","15/01/2009","12"
"West Wimmera","2009","2","4","4","4","0","2","2","0","4","40.0000","1.2500","-36.98253873513203","141.2504296043797","340.43208650839216","15/02/2009","0"
"Glenelg","2009","2","3","4","3","1","1","2","0","3","41.3333","1.0000","-37.91307301774636","141.4343073755283","309.7048070219686","15/02/2009","1"
"Hindmarsh","2009","2","1","2","3","0","1","2","0","1","49.0000","2.0000","-36.35637588970361","141.62305617837845","337.38178151589346","15/02/2009","1"
"Southern Grampians","2009","2","4","8","43","0","21","22","0","7","23.0698","1.2500","-37.784356381188275","142.00698332548777","259.4832167612456","15/02/2009","1"
"Mildura","2009","2","10","17","27","1","5","15","0","12","30.6296","1.5000","-34.31424567089681","142.03611463822645","469.40707506685635","15/02/2009","10"
"Horsham","2009","2","5","8","11","0","2","7","0","5","32.3636","1.0000","-36.70433459271435","142.19941403998277","273.6334423287058","15/02/2009","5"
"Yarriambiack","2009","2","1","1","1","0","0","1","0","1","67.0000","2.0000","-36.29643486304418","142.21852819564054","295.97680856852566","15/02/2009","1"
"Warrnambool","2009","2","2","4","4","1","1","3","0","2","42.2500","1.5000","-38.38354848064802","142.48993982700654","225.2783356046635","15/02/2009","2"
"Moyne","2009","2","3","4","7","0","2","4","1","6","40.7143","2.3333","-38.141469194382715","142.60523201920128","209.6172639479791","15/02/2009","2"
"Northern Grampians","2009","2","4","5","6","0","2","4","1","5","27.3333","2.0000","-37.00383878195124","142.81854105553134","209.44221353620875","15/02/2009","2"
"Ararat","2009","2","3","3","3","1","3","0","0","3","25.0000","2.0000","-37.2478015114499","142.8865065311265","193.3372966228977","15/02/2009","-3"
"Corangamite","2009","2","3","3","4","0","3","1","0","4","22.5000","2.0000","-38.142586847927134","143.12888928448396","164.64655977360422","15/02/2009","-2"
"Pyrenees","2009","2","2","2","2","0","0","2","0","2","45.5000","2.0000","-37.543183757654795","143.4667191242258","134.80225480115163","15/02/2009","2"
"Swan Hill","2009","2","3","4","5","1","3","2","0","3","35.4000","1.3333","-35.4110663581204","143.607856832125","293.0432791863117","15/02/2009","-1"
"Colac-Otway","2009","2","8","11","17","2","6","11","0","11","33.7647","1.2500","-38.5838839665346","143.69105530407035","140.18883747807197","15/02/2009","5"
"Central Goldfields","2009","2","1","1","1","0","1","0","0","1","24.0000","1.0000","-37.057223530976884","143.69844549927888","139.5179859887419","15/02/2009","-1"
"Ballarat","2009","2","21","41","65","0","30","32","1","30","29.2969","1.4286","-37.571008324350224","143.84687276769023","101.57490629077347","15/02/2009","2"
"Loddon","2009","2","2","3","5","1","1","4","0","2","33.2000","2.0000","-36.247136314971264","143.85901164966106","199.6379982232146","15/02/2009","3"
"Surf Coast","2009","2","5","6","10","0","1","9","0","7","33.9000","1.2000","-38.35882196489025","144.1542281756428","93.07842145704588","15/02/2009","8"
"Mount Alexander","2009","2","5","9","16","3","8","8","0","8","39.4375","1.6000","-37.048375170714664","144.24245423802859","106.00869227818966","15/02/2009","0"
"Greater Bendigo","2009","2","16","30","49","5","21","27","0","27","35.9184","1.3750","-36.793051971153375","144.29335197283888","127.79504039957907","15/02/2009","6"
"Greater Geelong","2009","2","39","70","100","8","35","52","0","51","33.6250","1.4615","-38.141964917931126","144.37206843703242","63.22949906321794","15/02/2009","17"
"Moorabool","2009","2","9","13","16","0","3","13","0","13","36.2500","1.3333","-37.58027007445156","144.38417256015","56.88427502376229","15/02/2009","10"
"Macedon Ranges","2009","2","6","9","12","0","3","7","1","6","44.5000","2.0000","-37.3874591402143","144.60960130548258","56.47085893826242","15/02/2009","4"
"Melton","2009","2","13","25","42","1","13","24","0","16","25.6341","1.3846","-37.71745994093672","144.68455137031373","26.437408966950066","15/02/2009","11"
"Wyndham","2009","2","23","49","70","3","23","39","0","34","29.0143","1.5652","-37.87283237286188","144.69637871244865","24.11040162967815","15/02/2009","16"
"Campaspe","2009","2","6","8","11","0","1","8","0","9","35.2000","1.5000","-36.228941089489375","144.7106097293713","177.48687575627085","15/02/2009","7"
"Brimbank","2009","2","42","86","109","2","33","66","0","52","34.4519","1.2381","-37.76219549727009","144.81416215269147","14.002124608106755","15/02/2009","33"
"Hobsons Bay","2009","2","25","46","55","6","19","31","0","28","34.3585","1.4800","-37.846703051256846","144.8342729253469","11.687007742600105","15/02/2009","12"
"Hume","2009","2","31","61","79","1","28","46","0","43","34.4474","1.5484","-37.646782045278705","144.88301322336858","19.650589595766984","15/02/2009","18"
"Maribyrnong","2009","2","19","33","44","3","15","20","0","19","30.3750","1.5263","-37.79550810735934","144.88759538042567","6.653639094437095","15/02/2009","5"
"Moonee Valley","2009","2","19","35","46","3","17","21","0","20","30.9286","1.4211","-37.752027536927905","144.91162319000364","7.975856851990602","15/02/2009","4"
"Moreland","2009","2","26","53","73","10","31","39","0","31","32.6528","1.4231","-37.745308089268775","144.95333016653822","7.510628893848619","15/02/2009","8"
"Melbourne","2009","2","75","128","174","20","47","94","0","80","30.8247","1.4000","-37.81289789047579","144.96108880660708","0.08665362009713917","15/02/2009","47"
"Port Phillip","2009","2","15","28","32","3","6","23","0","17","29.5333","1.3333","-37.86011808309029","144.97788705086754","5.504422306898839","15/02/2009","17"
"Yarra","2009","2","33","66","71","13","18","46","0","34","36.0588","1.2424","-37.80382757635498","144.9902943727419","2.8228046546245973","15/02/2009","28"
"Darebin","2009","2","28","59","77","6","39","35","1","35","33.5789","1.4643","-37.74342336588309","145.00718518527614","8.735710891645693","15/02/2009","-4"
"Bayside","2009","2","17","26","31","5","12","17","0","19","37.6207","1.4118","-37.92259865125756","145.00778369985395","12.922113084819758","15/02/2009","5"
"Stonnington","2009","2","22","37","46","5","11","31","0","24","35.2381","1.4545","-37.855500857351274","145.02511522867326","7.433588133897484","15/02/2009","20"
"Mornington Peninsula","2009","2","24","45","65","0","19","44","0","37","37.1250","1.5417","-38.296701829700545","145.02979117787459","54.16976012271657","15/02/2009","25"
"Glen Eira","2009","2","17","31","35","5","13","18","0","18","38.8788","1.2353","-37.89870837807904","145.03595358730928","11.65671910181957","15/02/2009","5"
"Mitchell","2009","2","10","13","22","0","8","14","1","17","43.0909","1.6000","-37.17719477200128","145.05431944021714","71.1445581287173","15/02/2009","6"
"Whittlesea","2009","2","18","35","57","3","24","26","0","30","26.7925","1.4444","-37.63088169469548","145.0571745424769","21.937729593940716","15/02/2009","2"
"Boroondara","2009","2","26","45","54","3","14","34","1","30","39.2857","1.5385","-37.82487064836379","145.05988212494987","8.864536158032235","15/02/2009","20"
"Banyule","2009","2","19","37","53","2","22","29","1","22","41.4314","1.4737","-37.73691441179469","145.0750107316736","13.145067026971322","15/02/2009","7"
"Kingston","2009","2","19","35","44","6","16","26","0","23","32.1136","1.3684","-37.98187905415143","145.09493556290445","22.226202305157088","15/02/2009","10"
"Monash","2009","2","40","85","111","2","45","55","0","51","36.6422","1.3250","-37.897287307675924","145.14042062205152","18.41376859038848","15/02/2009","10"
"Whitehorse","2009","2","29","53","68","4","23","39","0","37","35.0469","1.3448","-37.82880692308522","145.15099991411535","16.858930344581445","15/02/2009","16"
"Frankston","2009","2","26","53","88","1","32","46","1","42","26.5059","1.4231","-38.1353783075816","145.15512283861764","39.74838752438845","15/02/2009","14"
"Manningham","2009","2","16","33","47","0","25","21","0","26","38.1739","1.3750","-37.77967118898519","145.1670282598939","18.54262332998561","15/02/2009","-4"
"Greater Dandenong","2009","2","34","66","95","3","35","53","0","52","32.2366","1.3529","-37.98208015734629","145.19271915771674","27.774039104399854","15/02/2009","18"
"Nillumbik","2009","2","7","10","17","1","5","11","1","8","31.0000","1.5714","-37.68931720802867","145.20694082605783","25.66686016831626","15/02/2009","6"
"Knox","2009","2","29","53","68","3","27","37","0","39","40.9848","1.2759","-37.89905554371136","145.2562921727823","27.717888502480314","15/02/2009","10"
"Maroondah","2009","2","13","22","32","0","15","14","0","15","40.2000","1.5385","-37.8133114709357","145.2655399618034","26.826490869423818","15/02/2009","-1"
"Casey","2009","2","38","67","107","1","48","54","0","51","31.0288","1.3421","-38.06546660665284","145.29672120595586","40.7614034858927","15/02/2009","6"
"Strathbogie","2009","2","4","5","6","0","2","4","1","4","39.3333","2.2500","-36.815063676384845","145.32657822034173","115.56108088304323","15/02/2009","2"
"Greater Shepparton","2009","2","18","40","46","10","18","28","1","26","34.1087","1.5000","-36.37054161455223","145.36477966581847","164.32013690158087","15/02/2009","10"
"Yarra Ranges","2009","2","26","41","55","1","25","27","2","35","28.9273","1.6154","-37.767866069626656","145.43097521325217","41.670309493042744","15/02/2009","2"
"Murrindindi","2009","2","5","6","7","0","2","5","0","5","29.2857","1.6000","-37.41148985732455","145.5214263672013","66.58687321132203","15/02/2009","3"
"Cardinia","2009","2","15","28","45","0","18","24","1","26","33.2273","1.7333","-38.05789526809232","145.52627523160842","56.6452197081182","15/02/2009","6"
"Bass Coast","2009","2","5","7","9","0","2","7","1","4","40.4444","1.8000","-38.57834141502816","145.5674364511188","100.32669745056496","15/02/2009","5"
"Moira","2009","2","5","6","7","0","2","4","1","5","51.0000","2.0000","-36.01866877934636","145.7384805196835","211.13778994677335","15/02/2009","2"
"Baw Baw","2009","2","14","21","33","1","13","18","1","18","33.0625","1.3571","-38.15851560101254","145.8793417867628","89.26655947186525","15/02/2009","5"
"Benalla","2009","2","2","3","3","1","2","1","0","2","42.6667","1.0000","-36.500458383440154","145.92780536631983","169.23887493989403","15/02/2009","-1"
"South Gippsland","2009","2","9","16","23","0","13","10","0","15","42.0000","1.4444","-38.47132166404193","145.94798062755794","113.25635684941393","15/02/2009","-3"
"Wangaratta","2009","2","8","12","13","1","5","8","0","9","45.9231","1.6250","-36.43046934432219","146.336193190595","196.22150009297468","15/02/2009","3"
"Latrobe","2009","2","16","22","28","2","11","13","0","18","35.7308","1.5000","-38.22355325723294","146.4556695263105","138.7457269716748","15/02/2009","2"
"Wellington","2009","2","8","14","17","1","4","11","0","13","39.2500","1.3750","-38.27452050905663","146.80800262830718","169.76812165924215","15/02/2009","7"
"Wodonga","2009","2","6","9","10","2","2","7","0","6","33.1000","1.1667","-36.131571543433175","146.9210610439637","255.49963332678223","15/02/2009","5"
"Alpine","2009","2","3","3","7","0","2","5","0","4","34.4286","2.0000","-36.6883263932187","146.9255556817715","214.21329545481595","15/02/2009","3"
"Towong","2009","2","1","1","1","0","1","0","0","1","18.0000","2.0000","-36.09016733485219","147.97855497107358","329.5507199301931","15/02/2009","-1"
"East Gippsland","2009","2","17","22","33","0","13","19","0","26","40.2188","1.4706","-37.68464345158547","148.14862653045898","280.68464913312323","15/02/2009","6"
"Glenelg","2009","3","8","11","19","0","6","13","2","11","36.7368","1.7500","-38.030028277363215","141.53594329456513","301.3147650331803","15/03/2009","7"
"Southern Grampians","2009","3","2","3","4","0","2","2","0","3","43.0000","1.0000","-37.593053609313586","141.68862494287916","288.83743764767496","15/03/2009","0"
"Mildura","2009","3","9","12","12","0","4","8","0","9","45.9167","1.3333","-34.42025596278976","141.89702416490638","466.8342158298583","15/03/2009","4"
"Hindmarsh","2009","3","1","1","2","0","1","1","0","1","47.0000","2.0000","-36.44894723878305","142.02318633292325","301.28020257669704","15/03/2009","0"
"Horsham","2009","3","1","1","6","0","3","3","0","4","13.3333","1.0000","-36.70118725757754","142.21842774549646","272.2954335660938","15/03/2009","0"
"Warrnambool","2009","3","4","7","16","0","10","6","0","8","21.2500","1.2500","-38.37719070273465","142.48167577913765","225.78373317969852","15/03/2009","-4"
"Northern Grampians","2009","3","2","2","4","0","3","1","0","4","48.0000","1.5000","-37.117705268250745","142.54785724911275","226.48532793712974","15/03/2009","-2"
"Moyne","2009","3","5","7","13","0","4","9","0","8","35.3846","1.6000","-38.25474940059916","142.63933540231784","209.1175472072166","15/03/2009","5"
"Ararat","2009","3","2","3","4","0","2","2","0","2","34.0000","1.5000","-37.34437040477479","143.06040780405473","175.32013607105338","15/03/2009","0"
"Corangamite","2009","3","3","6","7","0","4","3","0","4","44.4286","1.3333","-38.2635032802304","143.11843793616015","168.90120796656146","15/03/2009","-1"
"Swan Hill","2009","3","6","8","11","0","3","8","0","7","34.8182","1.5000","-34.95363002230278","143.16565217314619","356.16903966586005","15/03/2009","5"
"Pyrenees","2009","3","1","1","2","0","1","1","0","1","60.5000","1.0000","-37.701321280786566","143.22035669081512","153.44795267492557","15/03/2009","0"
"Colac-Otway","2009","3","11","15","26","1","11","15","3","13","46.0385","1.8182","-38.6334987378055","143.56604811862528","152.18886493861177","15/03/2009","4"
"Central Goldfields","2009","3","2","3","3","0","0","3","0","2","54.3333","1.0000","-36.96393262401965","143.67845011793543","147.40369055172863","15/03/2009","3"
"Ballarat","2009","3","28","52","71","4","26","39","0","42","36.0588","1.2857","-37.564293618715865","143.84614365320252","101.84095843124118","15/03/2009","13"
"Golden Plains","2009","3","2","3","4","0","1","3","0","3","31.5000","1.5000","-37.78731977474948","143.97232437006483","86.8376617719319","15/03/2009","2"
"Gannawarra","2009","3","2","3","4","0","1","3","0","3","70.5000","2.0000","-35.676310276805694","144.07267996995273","250.36054408381634","15/03/2009","2"
"Hepburn","2009","3","6","9","15","0","8","7","0","11","27.8667","1.5000","-37.37490749472722","144.0840963869767","91.25075661719585","15/03/2009","-1"
"Surf Coast","2009","3","13","21","29","1","10","18","1","18","37.6897","1.7692","-38.34714248612444","144.16105973057628","91.78415696842517","15/03/2009","8"
"Mount Alexander","2009","3","3","6","7","0","4","3","0","5","48.0000","2.0000","-37.08887405927527","144.1640337317085","106.8438822727065","15/03/2009","-1"
"Loddon","2009","3","1","1","1","0","0","1","1","0","69.0000","3.0000","-35.94495540798068","144.2390489070995","217.35339169130881","15/03/2009","1"
"Greater Bendigo","2009","3","8","12","13","0","8","4","0","9","26.5385","1.2500","-36.76418881505156","144.32166826329956","129.54410010402404","15/03/2009","-4"
"Greater Geelong","2009","3","39","69","87","5","39","43","0","50","40.2771","1.3590","-38.160291879055656","144.37510199672667","64.21351017777512","15/03/2009","4"
"Moorabool","2009","3","4","7","13","0","8","2","0","5","17.8333","1.7500","-37.696389180693544","144.45082066894776","46.60694867227018","15/03/2009","-6"
"Melton","2009","3","14","26","34","2","13","19","1","15","28.5938","1.5000","-37.70007954843318","144.64210238349276","30.634662552030466","15/03/2009","6"
"Macedon Ranges","2009","3","12","17","28","0","8","18","0","16","25.5357","1.3333","-37.383966635199535","144.64415376920127","55.20066181439806","15/03/2009","10"
"Queenscliffe","2009","3","1","1","1","0","0","1","0","1","47.0000","2.0000","-38.265054120065","144.66633309031084","56.505602441370925","15/03/2009","1"
"Wyndham","2009","3","23","45","53","1","18","32","0","30","35.7059","1.3043","-37.867007274139795","144.6894720855863","24.52687405179343","15/03/2009","14"
"Brimbank","2009","3","26","52","73","0","27","41","0","37","33.5286","1.6538","-37.756946729574366","144.80121777227995","15.278824727140819","15/03/2009","14"
"Hobsons Bay","2009","3","7","10","11","2","1","8","0","7","35.0000","2.0000","-37.85707737083483","144.81418205680305","13.73912628447727","15/03/2009","7"
"Hume","2009","3","32","65","94","1","39","50","1","48","32.6703","1.3125","-37.6351542857585","144.87008188397695","21.265973358885365","15/03/2009","11"
"Maribyrnong","2009","3","19","35","48","2","15","23","0","23","36.3171","1.5789","-37.79639326127845","144.886794600065","6.693815662955498","15/03/2009","8"
